feature,importance_mean,importance_std
log10_Nt,1.6633805751800537,0.0320152453654426
dE_HOMO_eV,0.2627853274345398,0.01606429710883789
band_align_Type_I_straddling_shell_confines_core,0.21628512144088746,0.01224308595031914
dE_LUMO_eV,0.1672644853591919,0.004717831014892212
band_align_Type_II_staggered,0.05740030407905579,0.004382663831147212
Nt_cm3,0.04921410083770752,0.0008003564978808098
exp_dE_HOMO,0.038287192583084106,0.0024308378638588446
exp_dE_LUMO,0.02952829599380493,0.0034402097379916717
shell_thick_nm,0.026848256587982178,0.0009642761821619603
band_align_Type_III_broken_gap,0.020536643266677857,0.0011135735095007214
eps_shell,0.0008626937866210938,0.0005035757866106233
Vmax_V,0.0005449533462524414,0.0005204609115176901
core_radius_nm,0.00026171207427978517,0.00042784777328952565
band_align_Type_I_straddling_core_confines_shell,0.0,0.0
