feature,importance_mean,importance_std
dE_HOMO_eV,3.004976415634155,0.06930936741661764
dE_LUMO_eV,1.745862066745758,0.050003880513510575
exp_dE_HOMO,0.9212299406528472,0.02133559366590149
exp_dE_LUMO,0.445269787311554,0.009536519031394268
band_align_Type_I_straddling_shell_confines_core,0.19121240377426146,0.005744497720846007
band_align_Type_III_broken_gap,0.1640288710594177,0.009614118654152976
band_align_Type_II_staggered,0.1446002185344696,0.004406805749640416
shell_thick_nm,0.14315325021743774,0.0051936860315773435
log10_Nt,0.0022638559341430662,0.000477638155098161
Nt_cm3,0.002204018831253052,0.0006055436476063806
core_radius_nm,0.0011294722557067872,0.0003098426721490236
Vmax_V,0.00027165412902832033,0.00015234747401794357
band_align_Type_I_straddling_core_confines_shell,0.0,0.0
eps_shell,-8.786320686340331e-05,0.0009171661713566356
